sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKWeatherHumidity,HKAverageMETs,HKWeatherTemperature,HKIndoorWorkout,HKTimeZone,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-14 21:29:17 +0000,2022-09-14 21:51:28 +0000,Running,893.3186709880829,sec,243.982 kcal,3258.3 m,,,,13.8446 kcal/hr·kg,,0,America/New_York,3589 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-16 20:25:10 +0000,2022-09-16 20:54:00 +0000,Running,287.0943411588669,sec,69.4076 kcal,928.418 m,,,,2.58933 kcal/hr·kg,,0,America/New_York,971 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-19 21:04:30 +0000,2022-09-19 21:34:09 +0000,Running,1677.4266879558563,sec,325.946 kcal,4938.53 m,,,,10.1866 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-19 21:37:21 +0000,2022-09-19 21:44:24 +0000,Running,350.81990098953247,sec,83.4446 kcal,1206.32 m,,,,12.2368 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-19 21:44:24 +0000,2022-09-19 21:52:35 +0000,Running,408.7959769964218,sec,110.517 kcal,1624.03 m,,,,13.9032 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 20:49:06 +0000,2022-09-21 21:13:41 +0000,Running,1008.0556709766388,sec,211.267 kcal,2855.01 m,,,,10.3917 kcal/hr·kg,,0,America/New_York,2531 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 21:13:41 +0000,2022-09-21 21:33:46 +0000,Running,838.0511919260025,sec,236.94 kcal,3237.9 m,,,,14.274 kcal/hr·kg,,0,America/New_York,4100 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-21 21:33:46 +0000,2022-09-21 21:51:06 +0000,Running,946.145623922348,sec,226.29 kcal,3233.45 m,,,,11.4294 kcal/hr·kg,,0,America/New_York,1424 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-22 20:55:32 +0000,2022-09-22 21:28:11 +0000,Running,1812.800015091896,sec,432.846 kcal,6199.42 m,,,3700 %,12.0347 kcal/hr·kg,75.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-09-25 15:22:08 +0000,2022-09-25 18:44:08 +0000,Running,11995.78127503395,sec,2470.4 kcal,31849.2 m,,,,10.6876 kcal/hr·kg,,0,America/New_York,27872 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-10-15 12:00:51 +0000,2022-10-15 14:50:46 +0000,Running,10146.367968916893,sec,2397.08 kcal,31570.7 m,,,,12.1609 kcal/hr·kg,,0,America/New_York,24730 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-10-15 14:50:54 +0000,2022-10-15 15:32:31 +0000,Running,2448.3354918956757,sec,621.053 kcal,6789.52 m,,,,13.0117 kcal/hr·kg,,0,America/New_York,4406 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-10-15 15:32:55 +0000,2022-10-15 16:18:14 +0000,Running,2716.9994950294495,sec,295.457 kcal,4042.93 m,,,,6.3148 kcal/hr·kg,,0,America/New_York,1705 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-01 20:41:33 +0000,2022-12-01 21:11:12 +0000,Running,1734.0422800779343,sec,375.057 kcal,5192.32 m,,,3500 %,11.5442 kcal/hr·kg,44.6 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-03 17:27:56 +0000,2022-12-03 17:34:45 +0000,Running,406.39277505874634,sec,68.424 kcal,900.078 m,,,8500 %,10.0663 kcal/hr·kg,57.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-04 15:41:38 +0000,2022-12-04 16:44:30 +0000,Running,3735.731227993965,sec,870.106 kcal,11498.5 m,,,4800 %,12.4016 kcal/hr·kg,42.8 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-08 16:08:33 +0000,2022-12-08 17:11:50 +0000,Running,3791.2843710184097,sec,896.579 kcal,11294.1 m,,,6800 %,12.5913 kcal/hr·kg,55.4 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-17 16:14:45 +0000,2022-12-17 16:32:28 +0000,Running,1058.854572057724,sec,216.111 kcal,2872.27 m,,,3800 %,11.0643 kcal/hr·kg,44.6 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-17 16:34:26 +0000,2022-12-17 16:46:41 +0000,Running,733.0275659561157,sec,178.033 kcal,2463.17 m,,,3700 %,13.4088 kcal/hr·kg,44.6 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-17 16:50:58 +0000,2022-12-17 17:06:39 +0000,Running,812.5390720367432,sec,156.783 kcal,2083.09 m,,,3500 %,10.5247 kcal/hr·kg,46.4 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-19 22:13:23 +0000,2022-12-19 22:18:32 +0000,Running,299.55670297145844,sec,72.5918 kcal,1002.13 m,,,,13.0565 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-19 22:19:28 +0000,2022-12-19 22:24:04 +0000,Running,270.3542319536209,sec,68.184 kcal,952.387 m,,,,13.6036 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-19 22:31:33 +0000,2022-12-19 22:37:12 +0000,Running,337.97121798992157,sec,68.468 kcal,814.888 m,,,,11.3418 kcal/hr·kg,,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-20 16:51:32 +0000,2022-12-20 17:49:08 +0000,Running,3313.974238038063,sec,577.155 kcal,8052.56 m,,,4600 %,9.58787 kcal/hr·kg,39.2 degF,0,America/New_York,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-21 16:53:34 +0000,2022-12-21 17:49:07 +0000,Running,3330.756292939186,sec,587.328 kcal,8066.5 m,,,5000 %,9.77261 kcal/hr·kg,39.2 degF,0,America/New_York,
