sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:12:45 +0000,2023-05-05 21:13:36 +0000,mi,0.08961436393342682,3:BFFE9B66-2728-4046-88A4-912AFCC37878:705013965.00703:705014016.00750:49,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:13:47 +0000,2023-05-05 21:15:52 +0000,mi,0.28904614399111156,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014027.00759:705014152.00873:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:15:52 +0000,2023-05-05 21:17:52 +0000,mi,0.35389376293471314,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014152.00873:705014272.00921:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:17:52 +0000,2023-05-05 21:19:51 +0000,mi,0.30894109499039724,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014272.00921:705014391.01020:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:19:51 +0000,2023-05-05 21:21:51 +0000,mi,0.2680678796532363,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014391.01020:705014511.00415:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:21:51 +0000,2023-05-05 21:23:50 +0000,mi,0.33419633997053,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014511.00415:705014630.00482:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:23:50 +0000,2023-05-05 21:25:49 +0000,mi,0.39475769680534867,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014630.00482:705014749.00534:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:25:49 +0000,2023-05-05 21:27:48 +0000,mi,0.4656971568137931,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014749.00534:705014868.00523:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:27:48 +0000,2023-05-05 21:29:47 +0000,mi,0.5457812955433143,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014868.00523:705014987.00618:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:29:47 +0000,2023-05-05 21:31:46 +0000,mi,0.5164853609009723,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705014987.00618:705015106.00653:119,1
