sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKTimeZone,HKAverageMETs,HKIndoorWorkout,HKWeatherTemperature,HKWeatherHumidity,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-17 22:21:51 +0000,2023-05-17 23:29:59 +0000,Cycling,4086.4759340286255,sec,735.867 kcal,,,,America/New_York,10.3974 kcal/hr·kg,1,69.8 degF,2500 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-21 13:47:25 +0000,2023-05-21 18:03:21 +0000,Cycling,12017.621260046959,sec,1997.23 kcal,74204.9 m,,,America/New_York,9.70604 kcal/hr·kg,0,60.8 degF,6200 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-21 18:03:21 +0000,2023-05-21 21:26:08 +0000,Cycling,12163.233418941498,sec,2067.34 kcal,73671 m,,,America/New_York,9.88042 kcal/hr·kg,0,,,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-30 23:51:25 +0000,2023-05-31 00:51:35 +0000,Cycling,3608.3285989761353,sec,517.274 kcal,,,,America/New_York,8.54806 kcal/hr·kg,1,73.4 degF,4100 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-01 16:03:32 +0000,2023-06-01 16:36:43 +0000,Cycling,1989.951495051384,sec,306.362 kcal,,,,America/New_York,9.09783 kcal/hr·kg,1,78.8 degF,4300 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-01 22:20:44 +0000,2023-06-01 23:32:55 +0000,Cycling,4329.212749958038,sec,835.043 kcal,,,,America/New_York,11.0525 kcal/hr·kg,1,84.2 degF,3300 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-03 14:15:57 +0000,2023-06-03 14:33:56 +0000,Cycling,663.2453560829163,sec,97.6193 kcal,2726.24 m,,,America/New_York,8.85953 kcal/hr·kg,0,78.8 degF,4800 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-03 14:33:56 +0000,2023-06-03 15:48:37 +0000,Cycling,2287.207056045532,sec,323.507 kcal,9930.47 m,,,America/New_York,6.63738 kcal/hr·kg,0,80.6 degF,4700 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-03 15:48:37 +0000,2023-06-03 20:31:00 +0000,Cycling,13464.968887209892,sec,2225.5 kcal,79699.7 m,,,America/New_York,8.60667 kcal/hr·kg,0,82.4 degF,4300 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-03 20:31:00 +0000,2023-06-03 22:27:45 +0000,Cycling,6848.212714910507,sec,1216.1 kcal,39413.7 m,,,America/New_York,10.27 kcal/hr·kg,0,80.6 degF,5400 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-10 14:11:37 +0000,2023-06-10 18:02:27 +0000,Cycling,13346.977113962173,sec,2122.57 kcal,,,,America/New_York,9.23963 kcal/hr·kg,1,75.2 degF,3800 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-17 18:12:13 +0000,2023-06-17 22:14:30 +0000,Cycling,13390.470578312874,sec,2224.65 kcal,83978.5 m,,,America/New_York,9.05192 kcal/hr·kg,0,,,85517 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-06-29 00:18:13 +0000,2023-06-29 01:32:09 +0000,Cycling,4435.948341012001,sec,758.213 kcal,,,,America/New_York,9.96406 kcal/hr·kg,1,78.8 degF,5600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-07-01 13:35:36 +0000,2023-07-01 16:36:34 +0000,Cycling,10455.074650883675,sec,1598.02 kcal,,,,America/New_York,9.0304 kcal/hr·kg,1,75.2 degF,7600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-07-08 14:52:35 +0000,2023-07-08 16:22:21 +0000,Cycling,4843.531868100166,sec,866.934 kcal,,,,America/New_York,10.3706 kcal/hr·kg,1,84.2 degF,6600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-07-08 23:06:40 +0000,2023-07-08 23:55:30 +0000,Cycling,2701.7225041389465,sec,462.022 kcal,,,,America/New_York,9.8495 kcal/hr·kg,1,84.2 degF,6600 %,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-07-15 18:54:49 +0000,2023-07-15 20:03:58 +0000,Cycling,1794.7779613733292,sec,204.211 kcal,8278.07 m,,,America/New_York,5.02156 kcal/hr·kg,0,,,10673 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283cacd20>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-07-23 12:51:12 +0000,2023-07-23 19:38:19 +0000,Cycling,24426.36531805992,sec,3716.81 kcal,153288 m,,,America/New_York,9.01962 kcal/hr·kg,0,,,145008 cm
